index,BriCond,BriLen,chainage,lat,lon,lrp,type,Object Name,distance
82,,,30.774,23.5599722,90.6548056,LRP031,Road,Road82,129.6558738
14603,B,26.3,30.908,23.55919103,90.65574757,LRP031a,Bridge,Bridge14603,0
14603,B,,30.908,23.55919103,90.65574757,LRP031a,Output@Bridge,Output@Bridge14603,27.09232568
83,,,30.936,23.5590278,90.6559444,LRP031a,Road,Road83,413.9865873
84,,,31.348,23.5564444,90.6588611,LRP031b,Road,Road84,37.63295734
85,,,31.388,23.5562222,90.6591389,LRP031c,Road,Road85,84.00670373
42,A,29,31.472,23.55570829,90.65974142,LRP032a,Bridge,Bridge42,0
42,A,,31.472,23.55570829,90.65974142,LRP032a,Output@Bridge,Output@Bridge42,311.0263524
86,,,31.783,23.5538056,90.6619722,LRP032,Road,Road86,238.3168879
87,,,32.025,23.5523333,90.6636667,LRP032a,Road,Road87,96.19062598
46,A,28.9,32.121,23.55174219,90.66435388,LRP032d,Bridge,Bridge46,0
46,A,,32.121,23.55174219,90.66435388,LRP032d,Output@Bridge,Output@Bridge46,486.9685737
88,,,32.607,23.5487497,90.6678327,LRP033,Road,Road88,168.1541497
47,A,9.1,32.777,23.54773774,90.66905541,LRP033a,Bridge,Bridge47,0
47,A,,32.777,23.54773774,90.66905541,LRP033a,Output@Bridge,Output@Bridge47,18.79374339
48,A,5.2,32.796,23.54762464,90.66919207,LRP033b,Bridge,Bridge48,0
48,A,,32.796,23.54762464,90.66919207,LRP033b,Output@Bridge,Output@Bridge48,34.62007692
89,,,32.831,23.5474163,90.6694438,LRP033a,Road,Road89,77.3317515
90,,,32.908,23.5469441,90.6699993,LRP033b,Road,Road90,439.0252537
91,,,33.351,23.5442219,90.6731104,LRP033c,Road,Road91,245.0673772
52,A,59.83,33.591,23.54268543,90.67482921,LRP034b,Bridge,Bridge52,0
52,A,,33.591,23.54268543,90.67482921,LRP034b,Output@Bridge,Output@Bridge52,16.33787733
92,,,33.607,23.542583,90.6749438,LRP034,Road,Road92,504.9914604
12710,C,5.1,34.111,23.53939102,90.67845779,LRP034c,Bridge,Bridge12710,0
12710,C,,34.111,23.53939102,90.67845779,LRP034c,Output@Bridge,Output@Bridge12710,496.981761
93,,,34.607,23.5362497,90.681916,LRP035,Road,Road93,29.31088591
94,,,34.641,23.536083,90.6821382,LRP035a,Road,Road94,33.56716793
95,,,34.681,23.5358608,90.6823604,LRP035b,Road,Road95,276.0350609
96,,,34.956,23.5341386,90.6843052,LRP035c,Road,Road96,220.3924412
53,A,9.5,35.181,23.53277519,90.68587011,LRP035a,Bridge,Bridge53,0
53,A,,35.181,23.53277519,90.68587011,LRP035a,Output@Bridge,Output@Bridge53,222.3527014
14605,B,24.5,35.408,23.53139966,90.68744893,LRP036a,Bridge,Bridge14605,0
14605,B,,35.408,23.53139966,90.68744893,LRP036a,Output@Bridge,Output@Bridge14605,194.9269413
97,,,35.607,23.5301938,90.688833,LRP036,Road,Road97,98.34271025
56,A,8.4,35.707,23.53015196,90.68979518,LRP036c,Bridge,Bridge56,0
