,index,road,km,type,LRPName,name,length,condition,structureNr,roadName,chainage,width,constructionYear,spans,zone,circle,division,sub-division,lat,lon,EstimatedLoc
31,35,N1,29.842,Box Culvert,LRP030a,VITIKANDA - ANAR PUR CULVERT,34.7,A,101113,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,29.842,21.0,1992.0,7.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5660033956521,90.6486237247282,interpolate
32,14603,N1,30.908,PC Girder Bridge,LRP031a,ALIPURA BRIDGE (LEFT),26.3,B,101116,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,30.908,9.2,2004.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5591910296296,90.6557475703703,interpolate
33,42,N1,31.472,PC Girder Bridge,LRP032a,VOBAR CHAR BRIDGE(R),29.0,A,109826,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,31.472,9.2,2003.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5557082901265,90.6597414245569,interpolate
34,46,N1,32.121,PC Girder Bridge,LRP032d,BOBAIRCHAR BRIDGE(R),28.9,A,109832,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,32.121,9.2,2004.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5517421907216,90.6643538752577,interpolate
35,47,N1,32.777,Box Culvert,LRP033a,PURRANBUICHE BOX CULVERT,9.1,A,109843,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,32.777,21.0,2002.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5477377446428,90.6690554098214,interpolate
36,48,N1,32.796,Box Culvert,LRP033b,NOYAPARA,5.2,A,112533,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,32.796,12.2,1992.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5476246437499,90.669192065625,interpolate
37,52,N1,33.591,PC Girder Bridge,LRP034b,Madhya Baushia Bridge(R),59.83,A,120029,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,33.591,10.15,2000.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.54268543125,90.6748292125,interpolate
38,12710,N1,34.111,Box Culvert,LRP034c,BOCTAR KANDI BOX CULVERT,5.1,C,109835,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,34.111,21.0,1993.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5393910168,90.6784577888,interpolate
39,53,N1,35.181,Box Culvert,LRP035a,.,9.5,A,117863,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,35.181,21.2,2000.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5327751898617,90.6858701078341,interpolate
40,14605,N1,35.408,RCC Girder Bridge,LRP036a,CHAR BOWSHIA BRIDGE(R),24.5,B,109850,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,35.408,9.2,1997.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5313996605222,90.68744892596,interpolate
